property_id,date_id,owner_id,features_id,location_id,lastSalePrice,propertyTaxes,taxAssessments
39,29,36,37,47,200000.0,"{""2020"": {""year"": 2020, ""total"": 1688}, ""2021"": {""year"": 2021, ""total"": 2128}, ""2022"": {""year"": 2022, ""total"": 2128}, ""2023"": {""year"": 2023, ""total"": 2176}}","{""2020"": {""year"": 2020, ""value"": 125340, ""land"": 27340, ""improvements"": 98000}, ""2021"": {""year"": 2021, ""value"": 195100, ""land"": 44600, ""improvements"": 150500}, ""2022"": {""year"": 2022, ""value"": 195100, ""land"": 44600, ""improvements"": 150500}, ""2023"": {""year"": 2023, ""value"": 199500, ""land"": 44600, ""improvements"": 154900}}"
40,30,37,38,48,339000.0,"{""2019"": {""year"": 2019, ""total"": 1814}, ""2022"": {""year"": 2022, ""total"": 3763}, ""2023"": {""year"": 2023, ""total"": 5151}, ""2024"": {""year"": 2024, ""total"": 5901}}","{""2019"": {""year"": 2019, ""value"": 98580, ""land"": 37068, ""improvements"": 61512}, ""2022"": {""year"": 2022, ""value"": 189574, ""land"": 99060, ""improvements"": 90514}, ""2023"": {""year"": 2023, ""value"": 268881, ""land"": 131928, ""improvements"": 136953}, ""2024"": {""year"": 2024, ""value"": 322354, ""land"": 186943, ""improvements"": 135411}}"
41,31,38,39,49,196000.0,"{""2022"": {""year"": 2022, ""total"": 2847}, ""2023"": {""year"": 2023, ""total"": 2955}}","{""2021"": {""year"": 2021, ""value"": 119750, ""land"": 19500, ""improvements"": 100250}, ""2022"": {""year"": 2022, ""value"": 190520, ""land"": 28000, ""improvements"": 162520}, ""2023"": {""year"": 2023, ""value"": 196230}}"
42,32,39,40,50,408745.0,"{""2022"": {""year"": 2022, ""total"": 5221}, ""2023"": {""year"": 2023, ""total"": 5498}}","{""2022"": {""year"": 2022, ""value"": 586610, ""land"": 200000, ""improvements"": 386610}, ""2023"": {""year"": 2023, ""value"": 628320, ""land"": 230000, ""improvements"": 398320}}"
43,33,40,41,51,159900.0,"{""2023"": {""year"": 2023, ""total"": 219}}","{""2023"": {""year"": 2023, ""value"": 61920, ""land"": 20400, ""improvements"": 41520}}"
44,34,41,42,52,40000.0,"{""2018"": {""year"": 2018, ""total"": 2416}, ""2020"": {""year"": 2020, ""total"": 2577}}","{""2019"": {""year"": 2019, ""value"": 35300}, ""2020"": {""year"": 2020, ""value"": 45200}, ""2022"": {""year"": 2022, ""value"": 76300}, ""2023"": {""year"": 2023, ""value"": 108100}}"
45,35,42,43,53,196000.0,"{""2018"": {""year"": 2018, ""total"": 1957}, ""2023"": {""year"": 2023, ""total"": 2282}}","{""2020"": {""year"": 2020, ""value"": 211100, ""land"": 90000, ""improvements"": 121100}, ""2023"": {""year"": 2023, ""value"": 209000, ""land"": 105000, ""improvements"": 104000}}"
46,2,5,44,54,0.0,NaN,NaN
47,2,5,45,55,0.0,NaN,NaN
48,36,43,46,56,489900.0,"{""2022"": {""year"": 2022, ""total"": 4430}, ""2023"": {""year"": 2023, ""total"": 4977}}","{""2022"": {""year"": 2022, ""value"": 168301, ""land"": 31504, ""improvements"": 136797}, ""2023"": {""year"": 2023, ""value"": 193255, ""land"": 35504, ""improvements"": 157751}}"
49,2,44,47,57,0.0,"{""2019"": {""year"": 2019, ""total"": 4109}}","{""2018"": {""year"": 2018, ""value"": 377267}}"
50,2,45,48,58,0.0,"{""2021"": {""year"": 2021, ""total"": 1525}}","{""2022"": {""year"": 2022, ""value"": 141446, ""land"": 64492, ""improvements"": 76954}}"
51,37,46,49,59,240000.0,"{""2021"": {""year"": 2021, ""total"": 5584}, ""2022"": {""year"": 2022, ""total"": 5719}}","{""2022"": {""year"": 2022, ""value"": 135200, ""land"": 45100, ""improvements"": 90100}, ""2023"": {""year"": 2023, ""value"": 135200, ""land"": 45100, ""improvements"": 90100}}"
52,13,5,45,60,0.0,NaN,NaN
16,2,5,15,61,0.0,NaN,NaN
53,38,47,50,62,437000.0,"{""2023"": {""year"": 2023, ""total"": 5042}}","{""2023"": {""year"": 2023, ""value"": 459362, ""land"": 173443, ""improvements"": 285919}}"
54,39,5,45,63,102500.0,NaN,NaN
55,40,48,51,64,277000.0,"{""2020"": {""year"": 2020, ""total"": 5724}, ""2022"": {""year"": 2022, ""total"": 5880}, ""2023"": {""year"": 2023, ""total"": 6284}}","{""2020"": {""year"": 2020, ""value"": 298840}, ""2022"": {""year"": 2022, ""value"": 312110}, ""2023"": {""year"": 2023, ""value"": 321470}}"
16,2,5,15,65,0.0,NaN,NaN
56,41,49,52,66,0.0,"{""2022"": {""year"": 2022, ""total"": 5437}}","{""2022"": {""year"": 2022, ""value"": 406504, ""land"": 275000, ""improvements"": 131504}, ""2023"": {""year"": 2023, ""value"": 488351, ""land"": 275000, ""improvements"": 213351}}"
57,42,50,53,67,0.0,"{""2022"": {""year"": 2022, ""total"": 10144}, ""2023"": {""year"": 2023, ""total"": 10064}}","{""2022"": {""year"": 2022, ""value"": 628300, ""land"": 180000, ""improvements"": 448300}, ""2023"": {""year"": 2023, ""value"": 628300, ""land"": 180000, ""improvements"": 448300}}"
58,43,51,54,68,580000.0,"{""2022"": {""year"": 2022, ""total"": 4197}, ""2024"": {""year"": 2024, ""total"": 6810}}","{""2023"": {""year"": 2023, ""value"": 455933}, ""2024"": {""year"": 2024, ""value"": 528067}}"
59,44,52,55,69,78883.0,"{""2020"": {""year"": 2020, ""total"": 1864}, ""2022"": {""year"": 2022, ""total"": 3258}}","{""2022"": {""year"": 2022, ""value"": 180014, ""land"": 38253, ""improvements"": 141761}, ""2023"": {""year"": 2023, ""value"": 210906, ""land"": 47080, ""improvements"": 163826}}"
60,2,53,56,70,0.0,"{""2020"": {""year"": 2020, ""total"": 475}, ""2022"": {""year"": 2022, ""total"": 489}}","{""2019"": {""year"": 2019, ""value"": 9220, ""land"": 1180, ""improvements"": 8040}, ""2022"": {""year"": 2022, ""value"": 9500, ""land"": 1180, ""improvements"": 8320}}"
61,45,54,57,71,230000.0,"{""2020"": {""year"": 2020, ""total"": 1592}, ""2021"": {""year"": 2021, ""total"": 1652}, ""2023"": {""year"": 2023, ""total"": 2031}}","{""2020"": {""year"": 2020, ""value"": 135540, ""land"": 26640, ""improvements"": 108900}, ""2021"": {""year"": 2021, ""value"": 140880, ""land"": 26640, ""improvements"": 114240}, ""2023"": {""year"": 2023, ""value"": 160680, ""land"": 28560, ""improvements"": 132120}}"
62,2,55,58,72,0.0,"{""2022"": {""year"": 2022, ""total"": 2989}, ""2023"": {""year"": 2023, ""total"": 3045}, ""2024"": {""year"": 2024, ""total"": 3155}}","{""2022"": {""year"": 2022, ""value"": 240584, ""land"": 60129, ""improvements"": 180455}, ""2023"": {""year"": 2023, ""value"": 245395, ""land"": 61331, ""improvements"": 184064}, ""2024"": {""year"": 2024, ""value"": 250302, ""land"": 62557, ""improvements"": 187745}}"
63,46,56,59,73,432000.0,"{""2021"": {""year"": 2021, ""total"": 5069}, ""2022"": {""year"": 2022, ""total"": 5470}, ""2023"": {""year"": 2023, ""total"": 5470}}","{""2022"": {""year"": 2022, ""value"": 193800, ""land"": 29840, ""improvements"": 163960}, ""2023"": {""year"": 2023, ""value"": 193800, ""land"": 29840, ""improvements"": 163960}}"
64,47,57,60,74,3900000.0,"{""2019"": {""year"": 2019, ""total"": 28760}, ""2022"": {""year"": 2022, ""total"": 35379}, ""2023"": {""year"": 2023, ""total"": 58950}, ""2024"": {""year"": 2024, ""total"": 67691}}","{""2019"": {""year"": 2019, ""value"": 1512409, ""land"": 1032486, ""improvements"": 479923}, ""2022"": {""year"": 2022, ""value"": 1880519, ""land"": 1252524, ""improvements"": 627995}, ""2023"": {""year"": 2023, ""value"": 3216142, ""land"": 1624896, ""improvements"": 1591246}, ""2024"": {""year"": 2024, ""value"": 4026439, ""land"": 2454270, ""improvements"": 1572169}}"
65,48,58,61,75,55000.0,"{""2022"": {""year"": 2022, ""total"": 5483}, ""2023"": {""year"": 2023, ""total"": 5527}, ""2024"": {""year"": 2024, ""total"": 5766}}","{""2022"": {""year"": 2022, ""value"": 441100, ""land"": 159900, ""improvements"": 281200}, ""2023"": {""year"": 2023, ""value"": 495700, ""land"": 192400, ""improvements"": 303300}, ""2024"": {""year"": 2024, ""value"": 547600, ""land"": 202500, ""improvements"": 345100}}"
66,49,59,62,76,564900.0,"{""2020"": {""year"": 2020, ""total"": 1521}}","{""2024"": {""year"": 2024, ""value"": 44364}}"
16,2,5,15,77,0.0,NaN,NaN
67,2,60,63,78,0.0,"{""2023"": {""year"": 2023, ""total"": 12315}}","{""2023"": {""year"": 2023, ""value"": 756, ""land"": 326, ""improvements"": 430}}"
68,50,61,64,79,306000.0,"{""2022"": {""year"": 2022, ""total"": 4801}, ""2023"": {""year"": 2023, ""total"": 5316}}","{""2022"": {""year"": 2022, ""value"": 371315, ""land"": 84938, ""improvements"": 286377}, ""2023"": {""year"": 2023, ""value"": 378740, ""land"": 86636, ""improvements"": 292104}}"
69,51,62,65,80,350000.0,"{""2018"": {""year"": 2018, ""total"": 3081}}","{""2020"": {""year"": 2020, ""value"": 295333}}"
16,2,5,15,81,0.0,NaN,NaN
70,52,5,45,82,715000.0,NaN,NaN
71,53,63,66,83,530000.0,"{""2020"": {""year"": 2020, ""total"": 7216}, ""2023"": {""year"": 2023, ""total"": 8690}}","{""2021"": {""year"": 2021, ""value"": 660000, ""land"": 165000, ""improvements"": 495000}, ""2023"": {""year"": 2023, ""value"": 724276, ""land"": 116151, ""improvements"": 608125}}"
72,54,64,67,84,56500.0,"{""2022"": {""year"": 2022, ""total"": 1818}, ""2023"": {""year"": 2023, ""total"": 1850}}","{""2022"": {""year"": 2022, ""value"": 122949, ""land"": 52869, ""improvements"": 70080}, ""2023"": {""year"": 2023, ""value"": 125407, ""land"": 53926, ""improvements"": 71481}}"
73,55,65,68,85,152100.0,"{""2022"": {""year"": 2022, ""total"": 4787}, ""2023"": {""year"": 2023, ""total"": 5802}, ""2024"": {""year"": 2024, ""total"": 6060}}","{""2021"": {""year"": 2021, ""value"": 244160, ""land"": 32802, ""improvements"": 211358}, ""2022"": {""year"": 2022, ""value"": 325650, ""land"": 40980, ""improvements"": 284670}, ""2023"": {""year"": 2023, ""value"": 380999, ""land"": 48945, ""improvements"": 332054}, ""2024"": {""year"": 2024, ""value"": 369310, ""land"": 62805, ""improvements"": 306505}}"
16,2,5,15,86,0.0,NaN,NaN
16,2,5,15,87,0.0,NaN,NaN
74,56,66,69,88,249000.0,"{""2022"": {""year"": 2022, ""total"": 1981}, ""2023"": {""year"": 2023, ""total"": 2108}}","{""2022"": {""year"": 2022, ""value"": 121578, ""land"": 19000, ""improvements"": 102578}, ""2023"": {""year"": 2023, ""value"": 121578, ""land"": 19000, ""improvements"": 102578}}"
75,57,67,70,89,358075.0,"{""2017"": {""year"": 2017, ""total"": 2255}, ""2018"": {""year"": 2018, ""total"": 160}, ""2019"": {""year"": 2019, ""total"": 166}, ""2020"": {""year"": 2020, ""total"": 172}, ""2021"": {""year"": 2021, ""total"": 164}, ""2022"": {""year"": 2022, ""total"": 195}, ""2023"": {""year"": 2023, ""total"": 195}}","{""2017"": {""year"": 2017, ""value"": 242055, ""land"": 48000, ""improvements"": 194055}, ""2020"": {""year"": 2020}, ""2022"": {""year"": 2022, ""value"": 13280, ""land"": 1820, ""improvements"": 11460}, ""2023"": {""year"": 2023, ""value"": 13280, ""land"": 1820, ""improvements"": 11460}}"
76,58,68,71,90,275000.0,"{""2018"": {""year"": 2018, ""total"": 1065}, ""2021"": {""year"": 2021, ""total"": 1138}, ""2022"": {""year"": 2022, ""total"": 1219}}","{""2019"": {""year"": 2019, ""value"": 106700, ""land"": 17200, ""improvements"": 89500}, ""2022"": {""year"": 2022, ""value"": 137400, ""land"": 19700, ""improvements"": 117700}, ""2023"": {""year"": 2023, ""value"": 224200, ""land"": 23000, ""improvements"": 201200}}"
77,2,5,26,91,0.0,NaN,NaN
78,59,69,72,92,60000.0,"{""2020"": {""year"": 2020, ""total"": 1048}, ""2023"": {""year"": 2023, ""total"": 1628}}","{""2018"": {""year"": 2018}, ""2023"": {""year"": 2023, ""value"": 116300, ""land"": 23260, ""improvements"": 93040}}"
16,2,5,15,93,0.0,NaN,NaN
79,60,70,73,94,299990.0,"{""2022"": {""year"": 2022, ""total"": 13008}}","{""2023"": {""year"": 2023, ""value"": 370800, ""land"": 110400, ""improvements"": 260400}}"
80,61,71,74,95,520000.0,"{""2023"": {""year"": 2023, ""total"": 7458}, ""2024"": {""year"": 2024, ""total"": 7876}}","{""2022"": {""year"": 2022, ""value"": 663800, ""land"": 100000, ""improvements"": 563800}, ""2024"": {""year"": 2024, ""value"": 707800, ""land"": 150000, ""improvements"": 557800}}"
81,62,72,75,96,225000.0,"{""2022"": {""year"": 2022, ""total"": 11}, ""2023"": {""year"": 2023, ""total"": 3139}, ""2024"": {""year"": 2024, ""total"": 3234}}","{""2022"": {""year"": 2022, ""value"": 94480, ""land"": 22160, ""improvements"": 72320}, ""2023"": {""year"": 2023, ""value"": 94480, ""land"": 22160, ""improvements"": 72320}, ""2024"": {""year"": 2024, ""value"": 94480, ""land"": 22160, ""improvements"": 72320}}"
82,63,73,76,97,100000.0,"{""2022"": {""year"": 2022, ""total"": 1440}, ""2023"": {""year"": 2023, ""total"": 1856}}","{""2021"": {""year"": 2021, ""value"": 29510, ""land"": 4200, ""improvements"": 25310}, ""2022"": {""year"": 2022, ""value"": 29510, ""land"": 4200, ""improvements"": 25310}, ""2023"": {""year"": 2023, ""value"": 46410, ""land"": 8750, ""improvements"": 37660}}"
83,64,74,77,98,127400.0,"{""2022"": {""year"": 2022, ""total"": 4116}}","{""2022"": {""year"": 2022, ""value"": 239540}}"
84,65,75,78,99,205000.0,"{""2022"": {""year"": 2022, ""total"": 459}}","{""2022"": {""year"": 2022, ""value"": 16000, ""land"": 16000}}"
85,66,76,79,100,0.0,"{""2019"": {""year"": 2019, ""total"": 1002}, ""2020"": {""year"": 2020, ""total"": 603}, ""2021"": {""year"": 2021, ""total"": 10772}, ""2022"": {""year"": 2022, ""total"": 5379}}","{""2020"": {""year"": 2020, ""value"": 28800, ""land"": 28800}, ""2021"": {""year"": 2021, ""value"": 328720, ""land"": 49451, ""improvements"": 279269}, ""2022"": {""year"": 2022, ""value"": 406415, ""land"": 64484, ""improvements"": 341931}, ""2023"": {""year"": 2023, ""value"": 473955, ""land"": 75562, ""improvements"": 398393}}"
16,67,5,15,101,410000.0,NaN,NaN
86,68,77,80,102,685000.0,"{""2022"": {""year"": 2022, ""total"": 1339}}","{""2021"": {""year"": 2021, ""value"": 19152, ""land"": 10080, ""improvements"": 9072}, ""2023"": {""year"": 2023, ""value"": 11842, ""land"": 5794, ""improvements"": 6048}}"
87,69,78,81,103,50000.0,NaN,"{""2023"": {""year"": 2023, ""value"": 4260, ""land"": 900, ""improvements"": 3360}}"
88,70,79,82,104,296000.0,"{""2022"": {""year"": 2022, ""total"": 1832}, ""2023"": {""year"": 2023, ""total"": 1759}}","{""2020"": {""year"": 2020, ""value"": 12295, ""land"": 1400, ""improvements"": 10895}, ""2023"": {""year"": 2023, ""value"": 12295, ""land"": 1400, ""improvements"": 10895}}"
16,2,5,15,105,0.0,NaN,NaN
89,2,80,83,106,0.0,"{""2022"": {""year"": 2022, ""total"": 2838}, ""2023"": {""year"": 2023, ""total"": 4055}, ""2024"": {""year"": 2024, ""total"": 4000}}","{""2022"": {""year"": 2022, ""value"": 57520, ""land"": 6000, ""improvements"": 51520}, ""2023"": {""year"": 2023, ""value"": 84360, ""land"": 12000, ""improvements"": 72360}, ""2024"": {""year"": 2024, ""value"": 81880, ""land"": 11200, ""improvements"": 70680}}"
90,71,81,84,107,460000.0,"{""2023"": {""year"": 2023, ""total"": 12553}, ""2024"": {""year"": 2024, ""total"": 12339}}","{""2023"": {""year"": 2023, ""value"": 913648, ""land"": 482507, ""improvements"": 431141}, ""2024"": {""year"": 2024, ""value"": 774660, ""land"": 365377, ""improvements"": 409283}}"
91,72,82,85,108,283985.0,"{""2023"": {""year"": 2023, ""total"": 5547}}","{""2023"": {""year"": 2023, ""value"": 322290, ""land"": 21650, ""improvements"": 300640}}"
92,73,83,86,109,449500.0,"{""2022"": {""year"": 2022, ""total"": 6799}, ""2023"": {""year"": 2023, ""total"": 7127}}","{""2022"": {""year"": 2022, ""value"": 556358, ""land"": 247544, ""improvements"": 308814}, ""2023"": {""year"": 2023, ""value"": 567484, ""land"": 252494, ""improvements"": 314990}}"
93,74,84,87,110,519900.0,"{""2021"": {""year"": 2021, ""total"": 10814}}","{""2022"": {""year"": 2022, ""value"": 580000, ""land"": 278300, ""improvements"": 301700}}"
16,2,5,15,111,0.0,NaN,NaN
94,75,85,88,112,305000.0,"{""2023"": {""year"": 2023, ""total"": 17284}}","{""2023"": {""year"": 2023, ""value"": 646, ""land"": 260, ""improvements"": 386}}"
95,2,86,89,113,0.0,"{""2015"": {""year"": 2015, ""total"": 11}}",NaN
96,76,87,90,114,422000.0,"{""2018"": {""year"": 2018, ""total"": 6816}}","{""2018"": {""year"": 2018, ""value"": 125260, ""land"": 44860, ""improvements"": 80400}}"
